,0,1,2,3,4
count,421.0,36.0,21.0,134.0,144.0
mean,0.0006108441808020282,-0.022358980385724432,0.023632673362174512,-0.008938692721538206,0.009461129118681022
std,0.0026037875865837297,0.005342727256883404,0.007104734463269643,0.0028619208101104293,0.0028863708352693646
min,-0.004687873581681408,-0.03984083199588531,0.016964942306962185,-0.01540423519955335,0.0057630506883198
25%,-0.0013098016406386873,-0.02612632556278384,0.018201273305517036,-0.010722746385121187,0.007308742493884773
50%,0.000612470046217987,-0.02157036286416932,0.01999928946607944,-0.008482497560101523,0.00882135083711705
75%,0.002615449106050403,-0.017957926020998133,0.029014446829295923,-0.006739452565639432,0.011211314553322709
max,0.005673785815170755,-0.015616854511126689,0.040703498240013854,-0.004794225424290833,0.01662092676489521
