,0,1,2,3,4
count,154.0,55.0,60.0,23.0,7.0
mean,0.0011976855227903978,0.007941328483544648,-0.00606481559386731,-0.01253506732609288,0.015767880472923008
std,0.002260196401719964,0.0019780830242727586,0.001883191770532809,0.0022644430107384775,0.0020739104904283503
min,-0.002973423315249474,0.005345466455429085,-0.009761114053605033,-0.01840563351600467,0.013481504298459419
25%,-0.0006250261895470041,0.006212778305780968,-0.007405139230084846,-0.0136258174208134,0.014176271779638485
50%,0.0012063429493586232,0.00768928660712819,-0.006127655334470009,-0.01186459468422718,0.015372356627744057
75%,0.0030850266856757274,0.009279526907903755,-0.0044931283404284475,-0.010793036319293285,0.016967523246672177
max,0.00525711101073751,0.012560074628374414,-0.0031551642913617024,-0.010212749032897693,0.019233712331636267
