,0,1,2,3,4
count,466.0,29.0,77.0,8.0,176.0
mean,0.003295651922510019,-0.0523778187598629,0.026993024603200525,0.07646412362090033,-0.016417544134281304
std,0.005936547331627973,0.017741331968223355,0.007675682351626127,0.029988207814316714,0.006789333727520061
min,-0.00753510641737226,-0.10363736735110587,0.01714479818756747,0.05253810195141694,-0.03303768913820638
25%,-0.0010065434324549433,-0.05599324028279929,0.02044543383622872,0.05823303994922857,-0.021555922479349388
50%,0.0027416062991175508,-0.04608860765306755,0.024251052961781507,0.0637349570736502,-0.014419842910873778
75%,0.007463719173918441,-0.04170499142327909,0.03294944602334726,0.07965405287561812,-0.010815792537400025
max,0.017069219869202963,-0.033777323326303406,0.045991344968324306,0.13557722091306618,-0.007634744672674223
