count,mean,std,min,25%,50%,75%,max,sum,median,max_ratio,pct_neg,pct_pos,symbol,lookahead,direction,post_2009
276.0,0.0010453885869903148,0.024760669951604895,-0.16828740369938974,-0.009696818898162846,0.0009703844221438647,0.01247920142482204,0.11102249800901429,0.2885272500093269,0.0009703844221438647,0.6597195961697333,0.47101449275362317,0.5289855072463768,SPY,4 days 00:00:00.000000000,too_low,False
216.0,-0.002881947621591921,0.021461473468637703,-0.12683094237357798,-0.008017381196403712,0.0009522394264284373,0.007816622915372433,0.05289245687975539,-0.6225006862638549,0.0009522394264284373,0.41703117464791617,0.4305555555555556,0.5694444444444444,SPY,4 days 00:00:00.000000000,too_high,False
177.0,0.0003831906864184671,0.019196349313166997,-0.07351618055507367,-0.008492457406025385,0.0010235873188315084,0.010827620613681697,0.050883345146558956,0.06782475149606867,0.0010235873188315084,0.6921380403928952,0.4576271186440678,0.5423728813559322,SPY,4 days 00:00:00.000000000,too_low,True
135.0,-0.0008500222706524031,0.015324337559175732,-0.06844832618959087,-0.00706354610317349,0.0007873017479186834,0.00727341604111898,0.04212107116825312,-0.11475300653807442,0.0007873017479186834,0.6153703605780588,0.43703703703703706,0.5629629629629629,SPY,4 days 00:00:00.000000000,too_high,True
276.0,0.0015204538995326096,0.026831429325825887,-0.16828740369938974,-0.011142253841025861,0.0023894059093847826,0.013686194717625038,0.09611164535720505,0.41964527627100023,0.0023894059093847826,0.5711160980823521,0.4420289855072464,0.5579710144927537,SPY,5 days 00:00:00.000000000,too_low,False
216.0,-0.0027108104822753335,0.023056913715272402,-0.12683094237357798,-0.010599655795954649,0.0011545135739174006,0.009549811918158173,0.05289245687975539,-0.585535064171472,0.0011545135739174006,0.41703117464791617,0.4166666666666667,0.5833333333333333,SPY,5 days 00:00:00.000000000,too_high,False
177.0,0.0011496557507988288,0.02015600162782049,-0.08583129887206803,-0.009560833623050767,0.002384237360142415,0.01212736148452508,0.050883345146558956,0.2034890678913927,0.002384237360142415,0.5928297231339914,0.4180790960451977,0.5819209039548023,SPY,5 days 00:00:00.000000000,too_low,True
135.0,-0.0010910831161883856,0.016804521281526066,-0.06844832618959087,-0.008666301401754953,0.0009700021129448594,0.008442211328459515,0.04212107116825312,-0.14729622068543205,0.0009700021129448594,0.6153703605780588,0.42962962962962964,0.5703703703703704,SPY,5 days 00:00:00.000000000,too_high,True
276.0,0.0024842190372267895,0.03059149706147241,-0.20960119365030805,-0.012835252875736652,0.005071468862342418,0.019419046180895138,0.1065888762265652,0.6856444542745939,0.005071468862342418,0.50853181878532,0.4057971014492754,0.5942028985507246,SPY,7 days 00:00:00.000000000,too_low,False
216.0,-0.00046181043539995887,0.02913216945280982,-0.18925592474867278,-0.00982899368087657,0.0038036733698562056,0.012848512297621038,0.07998905758604406,-0.09975105404639112,0.0038036733698562056,0.42265021659040564,0.3888888888888889,0.6111111111111112,SPY,7 days 00:00:00.000000000,too_high,False
177.0,0.0037169534607681886,0.023653563516622622,-0.07420909689381967,-0.010198089043317276,0.005110766342222352,0.016904032579172015,0.07182750475726436,0.6579007625559694,0.005110766342222352,0.9679070055257113,0.384180790960452,0.615819209039548,SPY,7 days 00:00:00.000000000,too_low,True
135.0,0.0011174870606262177,0.02102301292678063,-0.06777595795432931,-0.008104019096888446,0.00374284813543474,0.013210024873249772,0.052954351778084295,0.1508607531845394,0.00374284813543474,0.7813146929441777,0.37037037037037035,0.6296296296296297,SPY,7 days 00:00:00.000000000,too_high,True
276.0,0.0017099709816771546,0.038401855264453735,-0.23415591655435994,-0.013688702959964508,0.00677805302872682,0.022114886668355913,0.10947666949027557,0.4719519909428947,0.00677805302872682,0.4675374899820661,0.40217391304347827,0.5978260869565217,SPY,10 days 00:00:00.000000000,too_low,False
216.0,-6.768971451843993e-05,0.030056068308136143,-0.14773106500001684,-0.011426729149255625,0.0053851662836333376,0.01703648147615147,0.06813929050701087,-0.014620978335983026,0.0053851662836333376,0.46123874154026506,0.4074074074074074,0.5925925925925926,SPY,10 days 00:00:00.000000000,too_high,False
177.0,0.0051835669406503065,0.028172802315390724,-0.1415496331327774,-0.009446811465965058,0.006647606907021597,0.021681822653072377,0.0687869557785066,0.9174913484951043,0.006647606907021597,0.48595643984454956,0.3672316384180791,0.6327683615819208,SPY,10 days 00:00:00.000000000,too_low,True
135.0,0.0007148254508994897,0.025077243833465632,-0.08276293025119447,-0.01059517288425105,0.006758567990280599,0.017211357990727236,0.04958764577978908,0.09650143587143112,0.006758567990280599,0.5991528529655149,0.3851851851851852,0.6148148148148148,SPY,10 days 00:00:00.000000000,too_high,True
276.0,0.0049669310051830085,0.0483990374115944,-0.22106863492405088,-0.01909449197528066,0.0155457139224362,0.03500211196067975,0.11210361130617338,1.3708729574305103,0.0155457139224362,0.5070986725217129,0.37681159420289856,0.6231884057971014,SPY,21 days 00:00:00.000000000,too_low,False
216.0,0.0015689281342924093,0.048359224306317325,-0.338246236820428,-0.01121819134928298,0.009521379326145432,0.025294980812842698,0.13421259040070094,0.3388884770071604,0.009521379326145432,0.3967896041130333,0.35185185185185186,0.6481481481481481,SPY,21 days 00:00:00.000000000,too_high,False
177.0,0.010358315027880321,0.038495301007509704,-0.15139814910146776,-0.0063780737610819,0.016232099855765098,0.03471573778291846,0.09132507589469131,1.8334217599348168,0.016232099855765098,0.603211310288112,0.327683615819209,0.672316384180791,SPY,21 days 00:00:00.000000000,too_low,True
