,0,1,2,3,4
count,147.0,482.0,9.0,27.0,91.0
mean,-0.016836139646433584,0.0020330161633131285,0.07307825932616967,-0.05373186964800146,0.023355681611423682
std,0.0066979290124048255,0.005004984479515489,0.029833835239980518,0.01765712699202228,0.008361862995662793
min,-0.03303768913820638,-0.008195372350842393,0.045991344968324306,-0.10363736735110587,0.012927233659486405
25%,-0.022242460481719527,-0.0012007750353155466,0.05790069197963082,-0.05649933920105159,0.016499882903867894
50%,-0.01452897224053815,0.0015475440828677846,0.06047397737586453,-0.046891560000563506,0.020474795942732306
75%,-0.010815153195266415,0.005625329104464254,0.06936648706622271,-0.0428777462569072,0.02946813312365556
max,-0.008327434291635977,0.0125646644524265,0.13557722091306618,-0.03516573371666144,0.04228509007704731
