,0,1,2,3,4
count,280.0,82.0,180.0,47.0,1.0
mean,0.0035457108420091556,-0.010187348026469359,-0.0024172254933381037,0.012301648710416589,-0.03984083199588531
std,0.0024002327828395865,0.003254536781441017,0.0017870085745529092,0.003205995018384446,
min,0.00019864282232420018,-0.01962517615002027,-0.006423981812041324,0.009043835548864053,-0.03984083199588531
25%,0.0014444397198949918,-0.011850892596180902,-0.003750726694194034,0.010063879971102333,-0.03984083199588531
50%,0.0030419091873210543,-0.009170472568134358,-0.0019939167266087047,0.01111932176785339,-0.03984083199588531
75%,0.0053089038843641655,-0.007549775293580914,-0.0008476773252197193,0.01391985475122286,-0.03984083199588531
max,0.008867144429676151,-0.00653400412757018,0.00015235599200109592,0.020992498149503512,-0.03984083199588531
