,0,1,2,3,4
count,41.0,357.0,196.0,130.0,32.0
mean,-0.016185785193731796,0.00030115861063497026,0.007390223341743099,-0.006895591453377008,0.016703056818524062
std,0.0036993745177555963,0.0021362760191471646,0.0023766118445512283,0.002230715712670743,0.0036732696610753094
min,-0.025090292295195066,-0.0037535098985622744,0.004245870460554469,-0.011570166909926257,0.012633788831515932
25%,-0.018224754829691884,-0.0012558222860654807,0.005314734307208891,-0.008727007521780747,0.013531865010606537
50%,-0.014762258799776851,0.0002449315643088249,0.006803702901988517,-0.006413786080239469,0.015742198033131583
75%,-0.013394555280594465,0.002025070355357732,0.009468130548810808,-0.004875290572771515,0.019465817754083847
max,-0.011714864826368474,0.0041361291882915366,0.012519951419966199,-0.003815090768062481,0.025306946501776506
