,0,1,2,3,4
count,453.0,30.0,108.0,22.0,143.0
mean,0.00020361190016472512,0.028048509804682667,-0.013255629418421802,-0.03339400834666732,0.011337134644781735
std,0.003475747185654363,0.007477456381782334,0.00426506022124373,0.010350521491354755,0.0035645720806118733
min,-0.007234133140403769,0.019931859457719282,-0.023795682144454985,-0.06734053623895772,0.006661069559168977
25%,-0.002360397994125173,0.02211210201845521,-0.016333755941236535,-0.03714821240839883,0.008416446441827579
50%,0.00037313366276505214,0.026761659864367526,-0.012363994959373945,-0.029385803279897392,0.010357136461270244
75%,0.0029120577643724373,0.0320380927494693,-0.009915764587124683,-0.026051507220295252,0.013929369184536527
max,0.006571379219149723,0.04545039846282299,-0.007324071119064641,-0.023934638244746037,0.019639064441054947
