,0,1,2,3,4
count,382.0,104.0,68.0,185.0,17.0
mean,-0.000945628038968529,-0.011071113641366336,0.015576081538855738,0.006348750293996133,-0.024906572294685042
std,0.0026225790953423203,0.0032016928279259833,0.004609178709472151,0.002156548911432329,0.006470376011049943
min,-0.006643892499894174,-0.018224754829691884,0.01119388644722712,0.0033411635998855348,-0.04174377081516573
25%,-0.0029325385355221086,-0.01330734993568144,0.012356477917043217,0.0045652953213005205,-0.026053301082483882
50%,-0.0006912080826980899,-0.010390905366784345,0.014157590898868797,0.0057743989045869575,-0.02169978797867781
75%,0.0011253357623845987,-0.008452761975712174,0.017400889365413792,0.007914004186850381,-0.020714390282340588
max,0.0033169859631047797,-0.006705149913522778,0.03901930583166532,0.011114979980875314,-0.01923389705856755
