,0,1,2,3,4
count,413.0,39.0,36.0,131.0,137.0
mean,0.001062183527772064,-0.03452352949434266,0.033229617505900616,-0.013851894047164085,0.013774798237793236
std,0.0038890959513786442,0.009542538468499867,0.009851580662247237,0.004691732363375662,0.004037851598587795
min,-0.007210133959634572,-0.06734053623895772,0.023064939827766133,-0.023934638244746037,0.008500075434149663
25%,-0.0017455079186947473,-0.04009788528073889,0.027962593496482363,-0.017583530018930996,0.01032192802025527
50%,0.0008439346603934207,-0.03136159134358834,0.02991029470020567,-0.012629194389256693,0.013148118849861326
75%,0.004123983226791497,-0.027730904350554107,0.037561007454889044,-0.010113637307653016,0.016800447822157918
max,0.008410584686837768,-0.02431401880658658,0.06936648706622271,-0.007244987803821524,0.022520838801751864
