,0,1,2,3,4
count,224.0,421.0,84.0,22.0,5.0
mean,0.0088805460233595,-0.0014124356544888647,-0.016286359222037826,0.027330116629338708,-0.0484363335279586
std,0.0037032275014476763,0.00355731925894587,0.005752042031316688,0.008008597535490988,0.011229789777093822
min,0.004341558639845931,-0.009651619102538716,-0.032858578151522926,0.018809248435836663,-0.06734053623895772
25%,0.005773928596152264,-0.0038861118850862623,-0.02064464645189072,0.021040397923592753,-0.047974049301808354
50%,0.007981285514799055,-0.0008510311444345592,-0.014536232853658248,0.02496398568749508,-0.04518332958379532
75%,0.010912135169031773,0.0013834026811741162,-0.011301727271331621,0.031738382651010616,-0.04407580032782236
max,0.018647321834706333,0.004255063496707366,-0.009936371298347603,0.04545039846282299,-0.03760795218740924
