Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2017-03-27T14:00:00Z,QQQ,129.896789228,41,4,Filled,5325.768358348, 
2017-03-27T14:00:00Z,SPY,229.816764228,23,4,Filled,5285.785577244, 
2017-04-07T14:05:00Z,EFA,60.162142428,-93,0,Filled,-5595.079245804,Liquidated 
2017-04-24T14:00:00Z,GLD,120.53,44,4,Filled,5303.32, 
2017-06-02T14:05:00Z,DIA,208.783445741,-26,0,Filled,-5428.369589266,Liquidated 
2017-06-02T14:05:00Z,QQQ,141.376086556,-41,0,Filled,-5796.419548796,Liquidated 
2017-06-02T14:05:00Z,SPY,239.74754394,-23,0,Filled,-5514.19351062,Liquidated 
2017-06-26T14:05:00Z,GLD,118.45,-44,0,Filled,-5211.8,Liquidated 
2017-06-30T14:00:00Z,QQQ,137.669256498,39,4,Filled,5369.101003422, 
2017-08-04T14:05:00Z,QQQ,142.637935725,-39,0,Filled,-5562.879493275,Liquidated 
2017-08-14T14:00:00Z,GLD,120.6,44,4,Filled,5306.4, 
2017-08-28T14:05:00Z,GLD,123.445,-44,0,Filled,-5431.58,Liquidated 
2017-09-11T14:00:00Z,GLD,126.03,43,4,Filled,5419.29, 
2017-09-25T14:00:00Z,QQQ,143.2200432,38,4,Filled,5442.3616416, 
2017-10-06T14:00:00Z,EEM,44.827541142,122,4,Filled,5468.960019324, 
2017-10-06T14:05:00Z,QQQ,147.1318504,-38,0,Filled,-5591.0103152,Liquidated 
2017-10-16T14:05:00Z,GLD,123.85,-43,0,Filled,-5325.55,Liquidated 
2017-11-13T15:00:00Z,EFA,68.14027528,80,4,Filled,5451.2220224, 
2017-12-08T15:05:00Z,EEM,45.132892444,-122,0,Filled,-5506.212878168,Liquidated 
